clean_message,label
people are supposed to leave on january th if all my family died in the earthquake but i have a cousin in france will they give me a chance to go and join him if the only passport i have,earthquake
is it true that we will have another earthquake stronger than the one on the th,earthquake
information regarding protection from the earthquake,earthquake
hi mom i had the my eye surgery one day before the earthquake,earthquake
how can i avoid an earthquake during the rainny season in the city of croixdes bouquets,earthquake
please give me information concerning the earthquake please,earthquake
we need help at delmas next to the camp on rue lemak we need water food tents our home has collapsed and people in charge forgot us we can be reached at the number,earthquake
we are several victims of the earthquake which took place on tuesday january we are in the yard near gerald bataille rue ode lucien number we have nothing to eat,earthquake
id like more information about the earthquake,earthquake
i would like more information about earthquake,earthquake
i would like to know if it is true that there will be another earthquake tomorrow of a higher magnitude than the one of january th,earthquake
please i would most like information about a swiss or french visa,floods
i want to find information on the earthquake,earthquake
i am a survivor of the earthquake i came to lagonave we dont have water nor food please help us,earthquake
they predict one aftershock this weekend according to experts it will be stronger than the one on january can i do a credit check,earthquake
i need more information on the quake ya ok,earthquake
please send more information on earthquake thank you,earthquake
the conditions are the reason that we are soliciting your help those of us who received the message already thanks dont forget all those who have fallen down below due to the earthquake i pray and receive the sulutation,earthquake
i would like some information regarding the earhquake,earthquake
should i send it through email,fire
i would like to know when the aftershocks will end please,earthquake
i would like to know if the earthquake could happen again at,earthquake
we need tents and food before the rain falls i count on you please please,storm
since people dont have the means to produceget a passport and people need to enter their residences because their homes were demolished and their entire families were killed people need to go to get out of here,floods
i would like to know how the aftershocks will be in the provinces,earthquake
hello we are a family in mersan not far from camp perrin we are victims of the catastophy help us by whatever means you can we need help,floods
i dont have anyone left in my family the house collapsed with them what can you do for me that day i went to school at the lycee for young girls,storm
i need more information on the earthquake,earthquake
hello is it true the earthquacke was magnitude,earthquake
i reside in the southern of haiti id like more information on the earthquake,earthquake
we need help before the catastophy of the of january there was already weeks rain in all our plantation and killed a lot of like goats picgs etc,storm
please i would like to have information about the earthquake in haiti,earthquake
will there be another earthquake this afternoon,earthquake
every hours ask for grace forgiveness and mercy for haiti it has to be faith and go to take us out of here send this message to other people,floods
i would like to find some information on the earthquake that just happened in the country is there any more information,earthquake
i heard on the creole service broadcast of voice of america that evidently my port au prince house was demolished god only killed of my children i have nothing,earthquake
i want to know if there is a risk of another magnitude earthquake,earthquake
im in pain while the last aftershock i fell on my hips and im bleeing i would like some help please thank you,earthquake
to come visit we dont have water or clothes or food we dont have a house to stay at our house was destroyed in the earthquake,earthquake
i want to know if the aftershocks are over thanks,earthquake
i would please like to know exactly how long the aftershocks will last,earthquake
sos on behalf of carrefour residents we have no water food and tents we havent received any aid thank you,floods
the central bureau fondation pendefatim that is at croix des bouquets is letting everyone that is giving help to the victims of the quake that we are making our local available for people,earthquake
when will this end is it possible that there will be another earthquake in port au prince,earthquake
we are located in carrefour precisely in cote plage since the earthquake we have only received water twice and when people come they are bias in distributing the help,earthquake
how long will the aftershocks last,earthquake
are the earthquakes over and if they happen again what should we do,earthquake
good evening i would like to know how the earthquake movement is will it continue to happen and how much will it pass please answer me,earthquake
im a victim in casale want to know when there will be more earthquake thanks,earthquake
information on the earthquake please,earthquake
the centre is in the glise de dieu de la nouvelle citi es rachets since the quake we havent reveived anything we are dying of hunger,earthquake
is there a large probability that we will have another earthquake magnitude,earthquake
i would like information about the earthquake,earthquake
please we are in lamentin eversince the earthquake no one came to care for us please send help,earthquake
please what can i do for me to relive,storm
is it true that aftershocks will follow for months,earthquake
i would like info on earthquake,earthquake
are they predicting another earthquake and if so what degree,earthquake
a cold front is over cuba this morning it could cross haiti tomorrow isolated rain showers are still forcasted over our region tonight,storm
we are located in canapevert next to the comcels antenna we havent received anything to eat please help us were starving,floods
the aftershocks that could help keep people from panicking because they are really afraid and so am i,earthquake
give me information about the earthquake please,earthquake
what are the provisions being made for the eventual aftershocks,earthquake
they said there are aftershocks like the one before,earthquake
we were very affected by the earthquake we are in lizon we need a lot of help,earthquake
please give us info on the aftershocks we felt,earthquake
message to be forwarded to government and to broadcast on radio we are in kensnoff and the quake hit us hard we need to eat,earthquake
messages with urgency i hope you will read for us on the radio and then send to the government that those of us in kenskoff were just hit with another earthquake and we need,earthquake
a cold front hit cuba this morning it could affect haiti tomorrow isolated showers are again expected in our region tonight,storm
dying of hunber there is no water to drink until now there are people under houses please if you have information on what to do when the aftershocks come and,earthquake
earthquake haiti info on how long it will last,earthquake
please my house collapsed i dont have foos to eat im with a child my work collapsed i need a little help to eat with my child thanks,earthquake
i want to have information on the earthquake,earthquake
i would like to have information on the earthquake,earthquake
i am place dessaline near the champ de mars we need water and food all my family is in the street,earthquake
what does someone from leogane have to do to get help,earthquake
were victims of the earthquake of january we need your help please help us bless you bnira we diquini rue ver,earthquake
how many more aftershocks are we to expect,earthquake
family sleeping outside in the open im a victim of the quake im sleeping out in the open with my wife and child i would love if we could be helped any way you can thanks,earthquake
hello we are victims of the earthquake because we lost relatives,earthquake
we went to find our family in santo domingo but we dont have any money for the visa because weve lost everything in the earthquake please help me tell me what to do in this situation thank you in advance,earthquake
need water food at corner avenue monseigneur guilloux and impasse belle vue,floods
earthquake im feeling traumatized please help me,earthquake
please give me a tent because i have a and a half month old baby i fear the rain will take us i am in musseau village thanks in advance,storm
if its raining what kind of precautions can we take if were sleeping outside,storm
my house has collapsed im living in the streets with kids my father my mom and my wife what can i do we are hungry,earthquake
cit militaire we need water food,earthquake
i am asking for some information about when the earthquakes would end since we are people who are studying this sort of thing,earthquake
weve been surveying with percaution in babiole we could hear thing but today we dont hear anything in cfc a zone of babiole now there are just cadavers under the debris,earthquake
when i got home i saw the furniture moving backward then the wall in the corner fell on top of it with all the displays and the television the problem we have we need water and hunger is killing us,earthquake
im a victim of the earthquake i am askin for help or if i can seek asylum in canada because as of now i have no family they all died in the tragedy,earthquake
the haitian center of international cooperation requests assistance for victims of the earthquake,earthquake
and what if we dont know anyone outside of port au prince what can we do we heard that there will be heavy rains on tuesday what can we do in that case,storm
help us we need tent water and food we are dying of hunger please help,floods
we are are in gonaive there are dead below and starving because all the students died in the earthquake we are asking withand authorities about our lean situation here,earthquake
hello what can you tell us about the earthquake is it over what advice can you give us,earthquake
how can i protect my head during aftershocks,earthquake
what do i do when i am in a house that is shaking,earthquake
i would like to know a word on the earthquakes thanks waiting on a response,earthquake
i cant contact my family since the devastation in portauprince because my account is expired i cant use a card please help me,earthquake
ok tahns i did not know sorry at what number may i ask for help because i am very worried about the rain with my baby thanks in advance,storm
id like to know when the earthquakes will stop please,earthquake
please i was hurt in the quake i cant get my card please give me a call,earthquake
i camping gaz cooker not sure for a populatio of more than peoplefamily from comity for mangaing repair from earthquake,earthquake
since the earthquake weve found nothing,earthquake
when will the aftershocks end because i have not slept or my leg is cut in half,earthquake
new information on the earthquake in haiti please,earthquake
information regarding the earthquake,earthquake
everybody is gone from the earthquake my house is crushed i dont have any possibility to buy anything if anyone can help me find a job,earthquake
i know someone alive under the rubbles still,earthquake
university of saint gerard in carrefour feuilles there are people under the rubles that are still alive,earthquake
a cold front is over cuba this morning i could cross haiti tomorrow isolated rain showers are still targeted for our region this evening,storm
good evening i need information please,earthquake
i greet you i was in petionville during the earthquake now im in petit goave im not finding any aid,earthquake
when will the earthquakes finish,earthquake
i am trapped under stuff from the earthquake,earthquake
i am a victim of the quake that just recently happened i lost my father i wanted to go to my family who are in dominican republic i stay in leoganne i will be waiting on a response,earthquake
after the earthquakei am falling into darkness,earthquake
person is somewhere in azile part of country and wants info on the earthquake,earthquake
the earthquake victimes management comity in petit goave are are asking for help no authoritys ahave ever goten back to us are houses are destroyed,earthquake
we have no water and we have no shelter to sleep especially when its raining thank you,storm
how come you havent asked me how to spend days hungry you need to know that people are dying while you are eating and drinking,floods
if it rains what do we do can we enter our houses,floods
we are in provisional shelter in park vila we havent received any aid we are hungry,floods
we want to know what are the first thing to do in case of earthquake if there will be more,earthquake
i am a survivor of the earthquake thanks to god i did not die i dont have anything anymore i am in la colline th section,earthquake
i would like to have more information about the earthquake can i sleep indoors,earthquake
wants to know how many death and wounded due to quake,earthquake
when a mother feels dizzy and has head injuries after the earthquake can she still breastfeed her baby,earthquake
i am asking that the authorities help us victims association christophe avenue fanfan impasse,earthquake
the ministry of public health needs to come and supervise the way people are having to live come do what needs to be done for the people to be able to sleep have shelter before the rains come,storm
hello how do i get to france for i am stranded in haiti response,earthquake
we salute you in jesusname we have problems because in our area there are people who have heart problems high blood pressure asthma we dont have tents we dont have drinkable water there are people who are hypo and hyper glycemic,floods
help needed for food milk for kids in lamentin aurelle st they have not received any help since the quake they are hungry,earthquake
my friends the people of au cap caphaitien are requesting aid for people at the justinian hospital caphaitien milo hospital needs medical aid and food please get this message to the authorities,floods
a cold front was discovered over cuba this morning it could cross haiti tomorrow isolated rain showers are predicted for our region tonight,storm
mwen se yon viktim nan tranbleman to ki sot frape ayiti kay manman mwen kraze se nan lari mwen ap domi nan seren tanpri edem poum lavim ka souri e poum k i am a victim of the earthquake that recently hit haiti my mothers house collapsed i am living in the streets please help so i can smile again,earthquake
hello im alive are the aftershocks finished can you sleep inside houses that,earthquake
because days after the earthquake all normal activities trembled ceased,earthquake
we need tents in miragoan it rained last night,storm
the rain is pouring on us would you please send us some tents thank you,storm
tuesday jan in the moment of the quake if it were christ coming would you be saved reflect on that and fix your life send this to other people,earthquake
cavaillon near les cayes was just hit by an earthquake dead and wounded please help us,earthquake
send me information some information thats going on in port au prince,earthquake
s v p send the earthquake record for me,earthquake
do you reply earthquake is over is what makes me me get back home,earthquake
will ther be more earthquake coming,earthquake
food is needed in tabarre tapage street paul emile street rapha street and rabbi street,floods
food has gotten more expensive in pap after the earthquake a measure can of rice is selling for gd now before it used to be gd corn is gd before it was gd,earthquake
is god responsible for the earthquake that happened in haiti,earthquake
when do they believe the aftershocks might be ended,earthquake
i would like to know what the government is going to do with the collapsed houses we are sleeping on the streets we are between south and southeast between cayes and jacmel,earthquake
we are many families victim of the earthquake in petitgoave we are all on the same site sleeping outside we never received anything,earthquake
i would like to get more info on the earthquake in haiti,earthquake
please help me with the earthquake victimsthey left paup and come to countrysidei helped them with the little money that i have,earthquake
no police officer ever there was only one since earthquake,earthquake
please the earthquake left me with nothing help me god will bless you,earthquake
food is getting very costly in pap following the earthquake rice is now gourdes a measuree it was gourdes before corn is gourdes compared to gourdes,earthquake
we are in the area of petit goave we would like we need tents and medication for flucolds,floods
the ground shock and now we have nothing to live on,earthquake
i need information on the earthquake,earthquake
what can we expect from the government because there is no water the pipe doesnt come and all the reservoirs are gone and sometimes when the red cross water trucks pass the refuse to even give us or bukets of water,floods
i want to know if the earthquake has finished,earthquake
and if there is rain what are we goging to do,storm
information on haiti after the earthquakes,earthquake
im a volunteer and a victim that lived in carrefour but now ive found a good neighbor who let me stay at his house in cap haitien i dont have any remaining relatives,storm
epasam i need help i was a victim of the quake,earthquake
i received your message but i would like to ask one thing when and how will you be able to get the aid to me for the people around my house who are victims of the earthquake the address is,earthquake
notes historic earthquake in haiti,earthquake
information on the earthquake,earthquake
haiti miragoane if it was for those people misery would have killed us by now and you must distribute in all the cities in the provinces most of the people who come from the capital are in the city of,earthquake
the price of gas before the earthquake was gourdesgallon price is now gourdesgallon,earthquake
what can a psychologist do or work to aid in the effortin haiti now,earthquake
i need your help concerning the damage that occurred in haiti,earthquake
if there is rain will the water table water source be contaminated and make people sick,storm
information on land tremors instability,earthquake
what time are the earthquakes going to end because i cannot sleep in the rain again,earthquake
how will they manage to verify ig the houses are ok or not we have been living in the strees scared to go inside our house we dont know who to get in touch with to verify for us,earthquake
the people of saut deau need help please help them,floods
tell me what to do where there is an aftershock,earthquake
is it true that the earthquake will go into the provinces,earthquake
is the epicenter still in port au prince in about how much time will the shaking othe aftershocks stop thank you,earthquake
id like to get some information on how many earthquakes there have been in haiti,earthquake
what should people do when their house was cracked but hasnt fallen down in an area where the earthquake wasnt that strong answer please,earthquake
can you send a little message to talk about the earthquake,earthquake
good morning please provide us with some food in fond michel locality name,floods
we are is desperate need of food water and shelter we have the will to struggle but we do not have the means please help,earthquake
which cream is good for skin blemishes,earthquake
people who are located above descaillets need shelter tents to protect the babies from light rain outside because they are sick please help us,storm
i need some information on how to behave after this earthquake,earthquake
people at grand saline and le lambi are asking for help they have been neglected to date they are in difficulties the reservoir is flooded,floods
notes statement no emergency,floods
can i have infos about the earthquake,earthquake
food and water send us aid urgent,earthquake
what is the highest earthquake magnitude that can be had,earthquake
i would like to know how many aftershocks have occured in haiti,earthquake
is it possible to know how many people died during the quake,earthquake
what should one do if they have a lot of bumpspimples that are growing,fire
the earthquake gave us one call on tuesday afternoon after that it gave us a ring today it is out of minutes it hasnt forgotten us just wait til it tops up,earthquake
what did the government say about schools how many people have died and how many were wounded after the earthquake how can demonstrations help,earthquake
the earthquake gave us heartache each day it shakes today he didnt even have a card but its not because he forgot us ever since he got his minutes weve been put aside,earthquake
could i have information about the earthquake please,earthquake
i am a victim of the january th earthquake,earthquake
they say that there will be an aftershock this weekend is that true,earthquake
give me another estimate of the earthquake victims,earthquake
we know that every one is a victim of the earthquake where i live the distribution is not done well people in their clan will get something for themselves i could get anything at all the committees used the aid for themselves i am also a victim,earthquake
i am a survivor of the earthquake thank you in advance for your help,earthquake
hi i am one of the victims i am asking the people in charge to send help to mondestin thimothe i had a business and its destroyed,floods
we have people under a tent in er impasse after lillavois in the area of bon repos we have a lot of problems we need food ans water and tents too,earthquake
want to know what the government said about the earthquake,earthquake
i am a surviver of the earthquakei would like to know what can i do to receive help,earthquake
to every one who sell things they had before the earthquake really expansive,earthquake
people in leogane or gonaive thank you for good service given to population haitian,earthquake
the advicee i give to the governemnt they have to do more for the distribution of food and find people who are wounded fastthy have to make a decision fast,storm
information on the earthquake in haiti,earthquake
no location provided i need information about the aid,floods
what are the psychological aftermath of the earthquake on the haitian people,earthquake
i am a victim of the earthquake my house is destroyed and i am now in les cayes with young children and i dont have anything,earthquake
we are victims of the january earthquake th section of petit goave we did not find helpfoodwater pregnant woman and kids are dying so many people came from portauprince and we have no way to give them anything its making matters worst,earthquake
good evening i am in leogane in a temporary shelter at dampus route not too far from the marines base since last week we did not get anything we hare thirsty,floods
i am bleeding profusely i am under some debris baby has diarrhea a little bread and marinad fried flowersustains us its damp,earthquake
thanks for the help youve given me,floods
hello will you please help me with a tent because its raining,floods
give me some information about earthquake please,earthquake
will there really be a tsunami because in jacmel the sea had time to dry already,floods
we are the people in lilavois in the bethesda street the houses are brocken we sleep outdoorwith insects we are very hungrycome to help us thanks for the good work,floods
if the education ministry said that places where the earthquake had not hit need to open school february st what about children in portauprince and its surroundings,earthquake
a cold front is over cuba this morning it could cross haiti tomorrow isolated storms are already forecast for our region tonight,storm
the people in fontamara have a lot of problems they dont have tents those who dont have blankets sleep on the ground alike thate if it rains what happens to them pass this message on for us please,storm
we need helpwe need water we are located at mapou prolong village la paix croix de missions port au prince,earthquake
people who became homeless because of the earthquake tried to make some tents with cover sheet the government has not done anything for them so far they have not received food nor water,earthquake
i would like to find more information about the earthquake,earthquake
give me the last information regarding the earthquake,earthquake
the earthquake happened at h in the evening and for the night,earthquake
please im someone who got out from under rubble my whole family is dead give me a little help please,earthquake
i run out of underwear people are helping me if you can do something for me if it is possible,floods
the cyclone sent a small catastrophe for me,storm
i need to know if they need haitian nurses in this vaccination campaign please,floods
i need information on earthquake please,earthquake
information of earthquake that occured january,earthquake
im thankful for the international corps crs for food it gave this morning in delmas even if this is rice to give us time for the rest of the stuff we need a tent for the rain,storm
a cold front is upon cuba this morning it may hit haiti tomorrow isolated rain showers are expected for our region tonight,storm
we are not getting anything in delmas water only,earthquake
we need help it is going to rain delmas,floods
i never got any helpno food no wateri live in croix des bouquets,floods
we are in akachon intersection of i at the hospital where there is water and medicine please help us,fire
need info regarding the earthquake,earthquake
after all that happenedevery haitan dreams how are we reconstructing our country,earthquake
i heard that the ocean will invade part of haiti is that the truth,floods
as with the other areas lillavois was damaged especially for lillavois we never received any aid we are imploring the ngos with the authorities to pay attention to our plea,storm
he would like to have more info regarding the earthquake,earthquake
what can i do after the quake i lost all of my possessions and papers please please help me,earthquake
sos for the people in mariani all the houses are destroyed we did not find any help at all since the of january we are starving sos,earthquake
some information on the earthquake,earthquake
i live in carefour near the college juvenati wsould like for you to come and assess my house people continue to scare me with threat of more earthquakes coming,earthquake
if it rains we have no idea what we are going to do in delmas thet never gave anything,storm
in my neiborough many people said the earthquake is coming back today and tomorrow for the worse is it true,earthquake
a lot of people are saying that the earthquake will finish on february is it thrue,earthquake
hello digicel good evening could you please replenish my mobile phone account since the earthquake i have not had any news of my family please i am waiting immediately,earthquake
some get many food cards and i cant find any for me,floods
this person wants to knwo if there will be anymore aftershocks,earthquake
we need aid please some people are almost dead,floods
we the pe people of bo boeuf have not gotten the aid that pam is given we are also the victim of the earthquake i just wanted pam to know please sent this message to pam,earthquake
i want to work i have nothing to do i am asking to find a job for me please i speak english i live at bizoton i am a woman thank you,floods
people at fontamara ask if they are not haitian because they hav,floods
i would like to know all the information about the past earthquakes,floods
can we get information about the earthquake who hit haiti,earthquake
i want to know if the earthquakes are finished please send us information,earthquake
do you have the last count for the earthquake how many people who died,earthquake
please let me know is the earthquake is coming back,earthquake
hello how many people died in the earthquake,earthquake
in front of a store in leogane at carrefour du fort they selling the rice they suppose to distrubuted to the victim of the earthquake many bags of rice are still in front of this store they deserve to be arrested,earthquake
notes requesting tents as it is beginning to rain no location given,storm
worried about another earthquake requesting tents,earthquake
find a little help today makes days since the people in guiton were victims and we have had no aid how do you feel since you havent helped us after all this time,fire
during the quake my head was hit hard since then it gives me lots of problems something is wrong i cannot see well i would like to now where i can find help,earthquake
is ahaiti in danger of another earthquake,earthquake
if hour house was destroyed what do we have to do because we can not spend our entire life sleeping outside under the fine rain serein,storm
i am a victim of the earthquake i live in mariani we have problem no drinking water as well as tent we are waiting for your response,earthquake
haiti needs vertical earthquakeresistant constructions decentralization of all communes and communal sections along with,earthquake
she has a friend who lives in carrefour haiti she says there hasnt been any aid passing there at all and the people in that area cant find anything to eat,floods
good evening you say that you give priority to the people who are the most affected please what can you for me who just came out of the earthquake now i am starving to death please do something,earthquake
we can not stay too long in the serein the open space outside because of the light rain we dont have a tent we just have sheets to cover our location is bas fort miragoane,storm
information about the possible earthquake between february nd and st,earthquake
